tax_id,Kingdom,Phylum,Class,Order,Family,Genus,Species,16S_rRNA_Count,metadata_NSTI,gc,EC.1.4.99.5,EC.4.1.1.5,EC.1.1.1.76,EC.3.2.1.6,EC.3.2.1.14,EC.2.6.1.86,EC.4.1.1.74,EC.3.5.99.7,EC.5.4.4.2,EC.4.2.99.21,EC.3.3.2.1,EC.1.3.1.28,EC.3.2.1.21,EC.3.2.1.20,EC.3.2.1.91,EC.1.10.3.2,EC.1.11.1.7,EC.3.2.1.52,EC.3.5.1.4,EC.3.5.1.5,EC.3.4.11.1,EC.1.3.3.11,EC.3.1.3.1,EC.3.1.3.2,EC.3.1.3.8,EC.3.1.3.26,EC.3.1.6.1,EC.1.18.6.1,EC.1.14.18.3,EC.1.14.99.39,EC.1.7.2.6,EC.1.7.1.15,EC.1.7.2.2,EC.1.7.1.4,EC.1.7.7.1,EC.1.7.2.1,EC.1.7.2.5,EC.1.7.2.4
100,Bacteria,Proteobacteria,Alphaproteobacteria,Hyphomicrobiales,Xanthobacteraceae,Ancylobacter,Ancylobacter aquaticus,2,0.0094035,0.55940701,0,0,1.5,0,0,0,1,0,1,1,2,1,1,1,0,0,0,1,3.5,4,2,2,0,0,0,0,0,0,0,0,0,0.5,0,0,0.5,0,0,0
100053,Bacteria,Spirochaetes,Spirochaetia,Leptospirales,Leptospiraceae,Leptospira,Leptospira alexanderi,1,0.025089,0.528301887,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1000566,Bacteria,Actinobacteria,Actinomycetia,Pseudonocardiales,Pseudonocardiaceae,Halosaccharopolyspora,Halosaccharopolyspora lacisalsi,1,0.030423,0.597183099,0,0,0,0,2,0,0,1,3,0,1,1,4,3,0,0,0,2,4,4,2,1,4,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0
1001,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Berrdetiaceae,Garritya,Garritya polymorpha,1,0.40224,0.497630332,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1001240,Bacteria,Actinobacteria,Actinomycetia,Micrococcales,Microbacteriaceae,Cryobacterium,Cryobacterium roopkundense,1,0.01608,0.562714188,0,0,1,0,2,0,0,0,1,0,0,0,3,1,0,0,0,1,3,0,2,0,1,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0
100133,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Sporobacterium,Sporobacterium olearium,1,0.094769,0.529528865,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100134,Bacteria,Firmicutes,Clostridia,Eubacteriales,Lachnospiraceae,Aerocolum,Aerocolum xylanovorans,1,0.047665,0.530332681,0,0,0,0,3,0,0,0,0,0,0,0,10,1,0,0,0,3,0,0,0,0,1,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0
100174,Bacteria,Firmicutes,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium peptidivorans,7,0.009735,0.52464551,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100176,Bacteria,Firmicutes,Clostridia,Eubacteriales,Oscillospiraceae,Papillibacter,Papillibacter cinmivorans,1,0.061794,0.543375925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100177,Bacteria,Spirochaetes,Spirochaetia,Spirochaetales,Borreliaceae,Borreliella,Borreliella lusitaniae,2,0.221073,0.46684176,0,0,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
